event_id_no_cnty,event_date,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
38330,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Novoazovsky,,Kulykove,47.2281,37.8768,DPR Armed Forces Press Service,"On 8 June 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Donbass People's Militia in the area of Kulykove, Donetsk.",0
38331,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,Donbass People's Militia,Europe,Ukraine,Donetsk,Volnovasky,,Kominternove,47.1745,37.811,DPR Armed Forces Press Service,"On 8 June 2020, the Ukrainian Forces fired 82mm mortars at the positions of the Donbass People's Militia in the area of Kominternove, Donetsk.",0
38365,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Popasniansky,,Zolote-5,48.6719,38.56,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 7 explosions involving unknown weapons near Zolote-5.",0
38359,08 June 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Yasynuvata,,Donetsk Filtration Station,48.1331,37.808,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 33 projectiles/explosions/shots/bursts of fire involving small arms/unknown weapons near Donetsk Filtration Station.",0
38360,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Novoazovsky,,Naberezhne,47.3146,37.8451,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 2 projectiles/explosions involving unknown weapons near Naberezhne.",0
38361,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Donetsk,,Trudovskiye,47.9451,37.5465,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 62 projectiles/explosions/shots involving unknown weapons near Trudovskiye.",0
38362,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Donetsk,,Donetsk-Kirovskyi,47.968,37.5475,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 2 projectiles/explosions involving unknown weapons near Donetsk-Kirovskyi.",0
38363,08 June 2020,Battles,Armed clash,Military Forces of Ukraine (2019-),,NAF: United Armed Forces of Novorossiya,,Europe,Ukraine,Donetsk,Donetsk,,Donetsk-Leninskyi,47.9617,37.7734,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 18 shots/bursts of fire involving small arms near Donetsk-Leninskyi.",0
38364,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Donetsk,Yasynuvata,,Kruta Balka,48.1433,37.8256,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Kruta Balka.",0
38366,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Popasniansky,,Molodizhne,48.6433,38.4768,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 30 explosions involving unknown weapons near Molodizhne.",0
38367,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Popasniansky,,Holubivske,48.692,38.6036,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 12 shots involving heavy machine guns near Holubivske.",0
38368,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,,,Europe,Ukraine,Luhansk,Popasniansky,,Donetskyi,48.6963,38.6738,OSCE SMM-Ukraine,"On 8 June 2020, the OSCE SMM observed a total of 14 bursts of fire involving heavy machine guns near Donetskyi.",0
38270,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Vodyane,47.1478,37.7881,OSCE SMM-Ukraine; JFO HQ press centre; Ministry of Defence of Ukraine,"On 8 June 2020, the NAF rebel forces fired heavy machine guns and grenade launchers at the governmental positions near Vodyane, Donetsk. The OSCE SMM observed a total of 29 projectiles/explosions/shots involving unknown weapons near Vodyane. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
38271,08 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Bohdanivka,47.6298,37.7563,Ministry of Defence of Ukraine; JFO HQ press centre,"On 8 June 2020, the NAF rebel forces fired heavy machine guns and small arms at the governmental positions near Bohdanivka, Donetsk. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
38273,08 June 2020,Battles,Armed clash,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Bakhmut,,Novoluhanske,48.4263,38.1711,JFO HQ press centre; OSCE SMM-Ukraine; Ministry of Defence of Ukraine,"On 8 June 2020, the NAF rebel forces fired heavy machine guns and small arms at the governmental positions near Novoluhanske, Donetsk. The OSCE SMM observed a total of 1 projectiles involving unknown weapons near Novoluhanske. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
38219,08 June 2020,Protests,Peaceful protest,Protesters (Ukraine),Freikorps,,,Europe,Ukraine,Kharkiv,Kharkiv,,Kharkiv,49.9808,36.2527,Telegram; Ukraine General Newswire,"On 8 June 2020, four members of Freikorps were standing with a large banner ""White lives matter"" on a bridge in Kharkiv in protest against the attention the protests for racial justice in USA receive in the Ukrainian media amidst the armed conflict in Ukraine. [size=four]",0
38268,08 June 2020,Explosions/Remote violence,Shelling/artillery/missile attack,NAF: United Armed Forces of Novorossiya,,Military Forces of Ukraine (2019-),,Europe,Ukraine,Donetsk,Volnovasky,,Novotroitske,47.7158,37.5919,Ministry of Defence of Ukraine; JFO HQ press centre,"On 8 June 2020, the NAF rebel forces fired 82mm mortars and grenade launchers at the governmental positions near Novotroitske, Donetsk. During the day, one Ukrainian soldier was wounded at an unspecified location.",0
