api_event_id,api_id,analyst_id,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp
7234752,1,TAS,Battles,Armed clash,Islamic State (Iraq),,Police Forces of Iraq (2020-),,Middle East,Iraq,Diyala,Muqdadiyah,,Abu Karmah,33.9069,44.7245,Al Maloomah; National Iraqi News Agency; Al Sumaria TV,"On 24 September 2020, an IS sniper shot and wounded a policeman in the sixth regiment of Diyala police patrols near the village of Abu Karmah, Diyala.",0,1601329862
7234753,1,TAS,Riots,Violent demonstration,Rioters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,Yaqein; Al Mirbad,"On 24 September 2020, dozens of graduates from technical institutes demonstrated outside the Thi-Qar Oil Company in the city of Nassriya, demanding to be appointed. Demonstrators blocked the company building by use of burning tyres. [size=dozens]",0,1601329862
7234868,1,TAS,Strategic developments,Looting/property destruction,Police Forces of Iraq (2020-),Military Forces of Iraq (2020-); TMF: Tribal Mobilization Forces; Military Forces of Iraq (2020-) Popular Mobilization Forces,Islamic State (Iraq),,Middle East,Iraq,Ninewa,Hatra,,Ash Shabani,34.9768,42.261,Al Maloomah,"Property destruction: On 23 September 2020, a joint security operation by the PMF, TMF, border guards, and the Jazeera operations command, air-backed by the military located an destroyed 3 IS vehicles in the Shabani area of the Hatra district, Ninewa province, bordering the Anbar desert.",0,1601329862
7234872,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Al Asakrah Tribal Militia (Iraq); Muslim Group (Iraq),,,Middle East,Iraq,Thi-Qar,Rifai,,Sayyid Dakhil,31.6713,46.0993,Al Mirbad,"On 23 September 2020, hundreds of armed men from the Al Asakrah tribe gathered in Sayyid Dakhil, Rifai district, Thi-Qar province to demonstrate against the search by a security task force of the home of their tribe's sheikh, in search of a kidnapped activist. Demonstrators demand that the government issue an official apology to the Sheikh. [size=hundreds]",0,1601329862
7234873,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Basrah,Al-Faw,,Al-Faw,29.9742,48.4731,Al Mirbad,"On 23 September 2020, graduates demanding to be appointed are partially blocking the road leading to the Oil Deport in the Al Faw district, Basrah province. [size=no report]",0,1601329862
7234874,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,Al Mirbad,"On 23 September 2020, protesters at the sit-in square in Nassriya City, Thi-Qar province demand the release of an activist who was kidnapped by an unidentified armed group and appealed to the supreme religious authority to intervene urgently to release the civil activist. [size=no report]",0,1601329862
7234875,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Basrah,Basrah,,Basrah,30.533,47.7975,Al Mirbad,"On 23 September 2020, dozens of engineering graduates demonstrated at the Basrah Oil Company (Makina) in Basrah City and blocked the gates of the building for an 11th day demanding to be appointed. [size=dozens]",0,1601329862
7234878,1,TAS,Protests,Peaceful protest,Protesters (Iraq),,,,Middle East,Iraq,Muthanna,Rumaitha,,Rumaitha,31.4978,45.2954,Al Mirbad,"On 23 September 2020, a large number of residents of the Al Jarf area (Al Awda) in the north of the Muthanna province demonstrated to demand their right to a road in the area that would serve dozens of villages and thousands of citizens. The demonstration took place in response to a previous demonstration in the province calling for the construction of the road. [size=large]",0,1601329862
7235145,1,TAS,Riots,Violent demonstration,Rioters (Iraq),Labour Group (Iraq),,,Middle East,Iraq,Thi-Qar,Nassriya,,Nassriya,31.058,46.2573,Yaqein,"On 23 September 2020, dozens of graduates from technical institutes demonstrated outside the Thi-Qar Oil Company in Nassriya City, demanding to be appointed for a fourth day. Demonstrators burned tyres, blocked the company building and prevented employees from entering. [size=dozens]",0,1601329862
7234910,1,TAS,Protests,Peaceful protest,Protesters (Iraq),Unidentified Tribal Group (Iraq),,,Middle East,Iraq,Muthanna,Rumaitha,,Al Najmi,31.6613,45.2827,Al Mirbad,"On 23 September 2020, tribal groups who reside in Al Najmi, Rumaitha district, Muthanna province called on the government to construct an 11 Km long road that will serve 7 villages and thousands of residents. [size=no report]",0,1601329862
